Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.13,0.47,68.75,1.24,0.21,0.09,37.51,80.49,1.54,0.94,4.78,2.22,0.64,3.88,1.19,55.87,1.19,Pedrinho,pedrinho,,MKE Ankaragücü
0.13,0.7,61.11,1.08,0.32,0.25,47.48,86.27,1.02,0.57,5.14,1.4,1.08,2.92,0.83,43.7,0.83,Görkem Sağlam,gorkem-saglam,,Hatayspor
0.12,1.37,55.0,1.62,0.62,0.37,26.59,81.61,1.37,0.5,0.75,2.0,0.75,4.62,0.5,40.59,1.25,Roman Kvet,roman-kvet,,Sivasspor
0.12,0.8,61.9,0.61,0.18,0.06,45.76,85.39,1.22,0.49,4.04,1.41,0.98,2.88,0.43,45.76,0.67,Sofiane Feghouli,sofiane-feghouli,Fatih Karagümrük,
0.12,0.49,50.0,0.61,0.24,0.12,51.73,81.19,1.47,0.49,2.93,1.96,1.35,2.69,0.98,54.55,0.37,Berkan Kutlu,berkan-kutlu,Galatasaray,
0.12,3.47,61.7,2.51,0.96,0.0,24.06,81.38,1.8,1.08,1.2,1.56,0.6,8.26,0.0,52.67,3.23,Emre Mor,emre-mor,Fatih Karagümrük,
0.12,0.48,57.14,0.83,0.24,0.36,24.88,73.33,1.07,0.95,1.79,0.95,1.07,2.02,2.14,51.47,0.6,Kingsley Schindler,kingsley-schindler,Yılport Samsunspor,
0.12,0.6,38.46,0.95,0.36,0.12,31.67,81.6,0.83,0.12,2.62,2.26,0.71,3.93,0.48,46.25,1.07,Vefa Temel,temel-vefa,İstanbulspor,
0.11,0.45,44.44,2.36,0.34,0.45,28.76,80.25,1.46,0.9,1.24,2.13,0.56,5.17,0.45,52.08,2.58,Endri Çekiçi,endri-cekici,Pendikspor,
0.11,0.89,57.14,1.22,0.33,0.11,38.52,77.68,1.66,0.44,2.32,1.66,0.77,3.54,1.44,35.71,1.0,Eduart Rroca,eduart-rroca,İstanbulspor,
0.11,0.63,65.38,1.95,0.55,0.22,44.04,79.14,1.73,1.33,8.55,1.22,0.63,2.29,0.55,53.47,0.44,Jonjo Shelvey,jonjo-shelvey,Çaykur Rizespor,
0.11,0.94,50.98,1.12,0.25,0.18,27.96,76.21,1.12,0.76,2.21,1.48,1.41,3.48,0.76,49.37,1.09,Erdoğan Yeşilyurt,erdogan-yesilyurt,Antalyaspor,
0.11,1.19,46.48,1.63,0.36,0.14,25.65,80.66,0.76,0.04,1.7,1.56,0.47,4.99,0.76,47.04,2.24,Dario Šarić,dario-saric,Antalyaspor,
0.11,1.18,55.0,1.47,0.57,0.61,33.2,84.26,2.73,2.04,3.55,1.11,0.65,3.48,0.5,44.94,1.22,Alexandru Maxim,alexandru-maxim,Gaziantep FK,
0.11,0.91,51.52,1.17,0.48,0.05,25.36,76.24,0.69,0.05,1.92,1.76,0.69,3.79,1.01,45.45,1.17,Taylan Antalyalı,taylan-antalyali,Yılport Samsunspor,
0.11,0.16,50.0,0.9,0.21,0.0,25.75,79.51,0.26,0.05,1.47,1.58,1.63,2.63,1.95,61.7,1.0,Marko Jevtović,marko-jevtovic,Gaziantep FK,
0.1,1.25,48.0,1.32,0.31,0.28,27.06,82.0,1.29,0.35,1.11,1.15,0.59,3.2,0.35,42.15,0.8,Alassane Ndao,ndao-alassane,Konyaspor,
0.1,1.32,40.0,1.88,0.51,0.25,14.65,70.66,1.47,0.81,0.66,0.81,0.35,3.6,0.56,39.61,1.47,Valon Ethemi,valon-ethemi,Konyaspor,
0.1,0.9,40.91,2.44,0.95,0.15,19.45,71.17,0.85,0.35,0.9,1.8,0.85,3.59,2.34,45.77,0.9,Sander van de Streek,sander-van-de-streek,Antalyaspor,
0.1,2.34,51.09,1.59,0.35,0.2,18.18,79.52,0.85,0.35,0.75,2.14,0.9,7.52,0.6,50.78,3.04,Marlos Moreno,marlos-moreno,Konyaspor,
0.1,0.87,51.43,1.3,0.38,0.05,28.48,84.21,0.58,0.34,1.97,1.73,1.44,4.57,1.06,55.45,2.02,Ogün Özçiçek,ogun-ozcicek,Gaziantep FK,
0.09,1.93,47.73,1.29,0.74,0.37,14.8,77.4,2.11,1.29,0.55,1.56,0.37,4.96,0.28,51.82,1.47,Modou Barrow,modou-barrow,Sivasspor,
0.09,1.09,46.15,1.18,0.27,0.09,27.45,78.85,0.82,0.55,1.18,2.45,1.0,4.73,0.91,50.41,1.18,Derrick Köhn,derrick-kohn,Galatasaray,
0.09,1.54,65.38,1.54,0.54,0.27,25.21,78.15,1.72,0.99,0.72,0.54,0.27,3.8,1.08,51.92,1.81,Serdar Gürler,serdar-gurler,,Başakşehir FK
0.09,0.76,54.84,1.42,0.36,0.18,26.48,80.0,1.07,0.53,1.51,1.78,0.93,3.07,0.58,53.25,0.62,Gökcan Kaya,gokcan-kaya,,Pendikspor
0.09,1.04,48.0,1.22,0.43,0.17,23.3,80.24,0.96,0.26,0.96,1.83,0.78,4.78,0.87,43.05,1.91,Emirhan İlkhan,emirhan-ilkhan,,Başakşehir FK
0.09,0.3,70.0,0.77,0.21,0.0,38.15,79.43,0.68,0.04,3.53,1.87,1.66,3.15,2.6,58.44,1.02,Chandrel Massanga,chandrel-massanga,,Hatayspor
0.08,1.95,60.53,1.99,0.55,0.08,20.47,74.69,1.44,0.93,1.86,1.69,0.55,5.16,0.13,44.64,1.52,Olimpiu Moruțan,olimpiu-morutan,,MKE Ankaragücü
0.08,0.65,40.0,0.81,0.32,0.16,19.42,75.95,1.13,0.57,0.16,1.78,0.65,4.13,1.54,46.05,1.78,Iron Gomis,iron-gomis,,Kasımpaşa
0.08,1.39,51.43,2.48,0.77,0.54,41.9,82.98,2.87,2.17,2.79,1.63,0.46,4.34,0.62,39.75,1.32,Rachid Ghezzal,rachid-ghezzal,,Beşiktaş
0.08,0.54,63.64,1.86,0.46,0.08,27.37,81.57,1.01,0.46,1.16,0.93,0.62,2.16,1.08,41.18,0.7,Danijel Aleksić,danijel-aleksic,,Başakşehir FK
0.07,1.38,68.52,1.23,0.26,0.04,33.49,83.38,1.08,0.26,2.24,3.66,1.45,7.53,0.67,57.89,2.5,Gedson Fernandes,gedson-fernandes,,Beşiktaş
0.07,3.77,70.27,2.25,0.94,0.07,26.91,88.97,1.02,0.22,1.96,0.65,0.65,5.58,0.29,54.36,1.16,Anastasios Chatzigiovanis,anastasios-chatzigiovanis,,MKE Ankaragücü
0.07,1.04,52.73,1.33,0.57,0.18,28.85,80.38,1.94,1.76,2.51,1.08,0.43,3.63,0.5,47.52,1.51,Deniz Türüç,deniz-turuc,,Başakşehir FK
0.07,1.03,46.88,0.72,0.31,0.28,32.14,82.89,1.68,0.69,1.31,1.82,0.31,5.57,0.58,57.37,2.72,Efecan Karaca,efecan-karaca,,Alanyaspor
0.07,0.2,46.15,1.77,0.56,0.03,28.92,77.93,0.49,0.03,2.36,1.64,1.74,3.21,2.13,62.45,1.47,Gökhan Gül,gokhan-gul,,Kasımpaşa
0.06,1.3,44.44,1.56,0.26,0.13,17.96,75.68,2.2,1.36,0.97,0.97,0.26,3.05,0.32,42.28,0.84,Zymer Bytyqi,zymer-bytyqi,,Antalyaspor
0.06,0.91,58.33,0.58,0.19,0.0,30.17,75.16,0.65,0.06,3.76,1.75,0.97,3.95,0.97,53.52,1.29,Benjamin Stambouli,benjamin-stambouli,,Adana Demirspor
0.06,1.28,44.57,0.69,0.12,0.25,25.84,79.25,0.87,0.47,1.09,1.93,1.53,5.39,0.62,54.37,2.18,Mustafa Eskihellaç,mustafa-eskihellac,,Gaziantep FK
0.06,1.31,66.67,1.02,0.18,0.18,37.47,80.59,1.14,0.42,3.35,2.27,0.78,4.9,1.02,50.77,1.31,Salih Uçan,salih-ucan,,Beşiktaş
0.06,1.48,65.79,1.48,0.42,0.0,34.45,88.16,0.89,0.18,1.84,2.31,1.13,7.17,0.53,63.11,3.44,Badou Ndiaye,badou-ndiaye,,Pendikspor
0.06,1.17,47.62,1.53,0.59,0.35,19.14,73.42,1.47,0.94,0.88,1.94,0.41,4.93,0.76,43.69,1.82,Max Gradel,max-gradel,,Gaziantep FK
0.06,0.22,30.77,1.18,0.45,0.11,24.5,75.74,1.07,0.34,1.46,1.57,0.95,4.65,1.63,51.85,2.92,Oğulcan Ülgün,ogulcan-ulgun,,Konyaspor
0.06,0.67,57.14,1.0,0.5,0.11,22.18,69.46,0.95,0.11,1.45,2.73,1.17,5.29,0.78,46.98,1.89,Furkan Soyalp,furkan-soyalp,,Gaziantep FK
0.05,0.48,47.37,1.34,0.38,0.05,37.67,85.8,0.48,0.0,2.36,1.93,0.48,3.6,1.72,51.83,1.18,Leroy Fer,leroy-fer,,Alanyaspor
0.05,0.36,70.0,0.93,0.1,0.0,36.26,81.09,0.47,0.05,3.48,2.8,1.5,3.58,1.19,49.46,0.52,Youssef Aït Bennasser,youssef-ait-bennasser,,Yılport Samsunspor
0.05,1.75,57.63,0.82,0.26,0.31,34.34,79.4,1.75,0.77,1.8,1.29,0.57,4.27,0.46,42.99,1.24,Fredrik Midtsjø,fredrik-midtsjo,,Pendikspor
0.05,1.04,67.74,1.14,0.35,0.1,28.91,83.52,0.5,0.1,2.78,1.88,0.99,3.42,0.84,44.56,0.5,Ali Kaan Güneren,ali-kaan-guneren,,MKE Ankaragücü
